date,visits,day,month,week,year,black_Friday,easter,stores_open,payday_week
09/11/2019,1056689,Sat,Nov,28,2019,0,0,1,0
10/11/2019,1018874,Sun,Nov,29,2019,0,0,1,0
11/11/2019,1024246,Mon,Nov,29,2019,0,0,1,0
12/11/2019,980119,Tue,Nov,29,2019,0,0,1,0
13/11/2019,1400427,Wed,Nov,29,2019,0,0,1,0
14/11/2019,1347070,Thu,Nov,29,2019,0,0,1,0
15/11/2019,1355895,Fri,Nov,29,2019,0,0,1,0
16/11/2019,1393812,Sat,Nov,29,2019,0,0,1,0
17/11/2019,1461579,Sun,Nov,30,2019,0,0,1,0
18/11/2019,1397408,Mon,Nov,30,2019,0,0,1,0
19/11/2019,1396297,Tue,Nov,30,2019,0,0,1,0
20/11/2019,1392587,Wed,Nov,30,2019,0,0,1,0
21/11/2019,1534557,Thu,Nov,30,2019,0,0,1,0
22/11/2019,2396517,Fri,Nov,30,2019,0,0,1,0
23/11/2019,2055065,Sat,Nov,30,2019,0,0,1,0
24/11/2019,2070499,Sun,Nov,31,2019,0,0,1,1
25/11/2019,2173389,Mon,Nov,31,2019,0,0,1,1
26/11/2019,2089293,Tue,Nov,31,2019,0,0,1,1
27/11/2019,2061928,Wed,Nov,31,2019,0,0,1,1
28/11/2019,2602216,Thu,Nov,31,2019,1,0,1,1
29/11/2019,4703472,Fri,Nov,31,2019,1,0,1,1
30/11/2019,2351354,Sat,Nov,31,2019,1,0,1,1
01/12/2019,2122773,Sun,Dec,32,2019,1,0,1,0
02/12/2019,2323775,Mon,Dec,32,2019,1,0,1,0
03/12/2019,1519136,Tue,Dec,32,2019,0,0,1,0
04/12/2019,1352325,Wed,Dec,32,2019,0,0,1,0
05/12/2019,1255011,Thu,Dec,32,2019,0,0,1,0
06/12/2019,1196968,Fri,Dec,32,2019,0,0,1,0
07/12/2019,1204385,Sat,Dec,32,2019,0,0,1,0
08/12/2019,1321671,Sun,Dec,33,2019,0,0,1,0
09/12/2019,1267347,Mon,Dec,33,2019,0,0,1,0
10/12/2019,1235099,Tue,Dec,33,2019,0,0,1,0
11/12/2019,1119534,Wed,Dec,33,2019,0,0,1,0
12/12/2019,1072582,Thu,Dec,33,2019,0,0,1,0
13/12/2019,1061396,Fri,Dec,33,2019,0,0,1,0
14/12/2019,1157964,Sat,Dec,33,2019,0,0,1,0
15/12/2019,1217969,Sun,Dec,34,2019,0,0,1,0
16/12/2019,1215569,Mon,Dec,34,2019,0,0,1,0
17/12/2019,1019679,Tue,Dec,34,2019,0,0,1,0
18/12/2019,1057695,Wed,Dec,34,2019,0,0,1,0
19/12/2019,1063927,Thu,Dec,34,2019,0,0,1,0
20/12/2019,1105591,Fri,Dec,34,2019,0,0,1,0
21/12/2019,1127179,Sat,Dec,34,2019,0,0,1,0
22/12/2019,1150744,Sun,Dec,35,2019,0,0,1,0
23/12/2019,1140625,Mon,Dec,35,2019,0,0,1,0
24/12/2019,1254589,Tue,Dec,35,2019,0,0,1,0
